Table,Column,DataType,Purpose,Description
cms,Prescriber_Type,VARCHAR,Categorization,Derived from the Medicare provider/supplier specialty code reported on the NPI’s Part B claims. This value is most often associated with Prescriber information but is also used as a categorical sort on its own against data in the CMS table.
cms,Total_Claims,BIGINT,Aggregation,The number of Medicare Part D claims for its corresponding data in the that row of the cms table. This total value includes original prescriptions and refills for the assigned medication.
cms,Total_30_Day_Fills,DOUBLE,Aggregation,The aggregate number of Medicare Part D standardized 30-day fills. The standardized 30-day fill is derived from the number of days supplied on each Part D claim divided by 30. This number if often rounded to the nearest whole number after the value has been summed before further calculation.
cms,Total_Day_Supply,BIGINT,Aggregation,The aggregate number of day’s supply for which this drug was dispensed.
cms,Total_Drug_Cost,DOUBLE,Monetary,"The aggregate drug cost paid for all associated claims. This amount includes ingredient cost, dispensing fee, sales tax, and any applicable vaccine administration fees and is based on the amounts paid by the Part D plan, Medicare beneficiary, government subsidies, and any other third-party payers. Values are often rounded to two decimal places (to the cent) and presented in US dollars."
cms,Total_Benficiaries,BIGINT,Aggregation,The total number of unique Medicare Part D beneficiaries with at least one claim for the drug.
cms,Total_Claims_65_OrOlder,BIGINT,Aggregation,The number of Medicare Part D claims for patients at or over 65 years of age corresponding to the that row of the cms table. This total value includes original prescriptions and refills for the assigned medication.
cms,Total_30_Day_Fills_65_OrOlder,DOUBLE,Aggregation,The aggregate number of Medicare Part D standardized 30-day fills for patients at or over 65 years of age. The standardized 30-day fill is derived from the number of days supplied on each Part D claim divided by 30. This number if often rounded to the nearest whole number after the value has been summed before further calculation
cms,Total_Drug_Cost_65_OrOlder,DOUBLE,Monetary,"The aggregate drug cost paid for all associated claims for patients at or over 65 years of age. This amount includes ingredient cost, dispensing fee, sales tax, and any applicable vaccine administration fees and is based on the amounts paid by the Part D plan, Medicare beneficiary, government subsidies, and any other third-party payers. Values are often rounded to two decimal places (to the cent) and presented in US dollars."
cms,Total_Day_Supply_65_OrOlder,BIGINT,Aggregation,The aggregate number of day’s supply for which this drug was dispensed for patients at or over 65 years of age.
cms,Total_Beneficiaries_65_OrOlder,BIGINT,Aggregation,The total number of unique Medicare Part D beneficiaries at or above 65 years of age with at least one claim for the drug.
cms,Prescriber_Id,BIGINT,Link,Identifier used to match results of queries to the ID column in the Prescriber table
cms,Location_Id,BIGINT,Link,Identifier used to match results of queries to the ID column in the Location table
cms,Medication_Id,BIGINT,Link,Identifier used to match results of queries to the ID column in the Medication table
