Id,Brand_Name,Generic_Name,Is_Opioid
1,Omeprazole,Omeprazole,
2,Levemir,Insulin Detemir,
3,Azithromycin,Azithromycin,
4,Cilostazol,Cilostazol,
5,Clopidogrel,Clopidogrel Bisulfate,
6,Enalapril-Hydrochlorothiazide,Enalapril/Hydrochlorothiazide,
7,Hydrocodone-Acetaminophen,Hydrocodone/Acetaminophen,true
8,Isosorbide Mononitrate Er,Isosorbide Mononitrate,
9,Ammonium Lactate,Ammonium Lactate,
10,Amitriptyline Hcl,Amitriptyline Hcl,
11,Celebrex,Celecoxib,
12,Minocycline Hcl,Minocycline Hcl,
13,Atelvia,Risedronate Sodium,
14,Benicar Hct,Olmesartan/Hydrochlorothiazide,
15,Carbamazepine,Carbamazepine,
16,Glipizide-Metformin,Glipizide/Metformin Hcl,
17,Lorazepam,Lorazepam,
18,Losartan-Hydrochlorothiazide,Losartan/Hydrochlorothiazide,
19,Nystatin-Triamcinolone,Nystatin/Triamcin,
20,Combivent,Ipratropium/Albuterol Sulfate,
21,Exforge,Amlodipine/Valsartan,
22,Flovent Hfa,Fluticasone Propionate,
23,Hydroxyzine Pamoate,Hydroxyzine Pamoate,
24,Nitrostat,Nitroglycerin,
25,Premarin,"Estrogens, Conjugated",
26,Single Use Swab,Alcohol Antiseptic Pads,
27,Ondansetron Odt,Ondansetron,
28,Lunesta,Eszopiclone,
29,Budesonide,Budesonide,
30,Flector,Diclofenac Epolamine,
31,Methenamine Hippurate,Methenamine Hippurate,
32,Nevanac,Nepafenac,
33,Procrit,Epoetin Alfa,
34,Klor-Con 10,Potassium Chloride,
35,Nabumetone,Nabumetone,
36,Terbinafine Hcl,Terbinafine Hcl,
37,Cefdinir,Cefdinir,
38,Lovenox,Enoxaparin Sodium,
39,Carafate,Sucralfate,
40,Prevacid,Lansoprazole,
41,Seroquel Xr,Quetiapine Fumarate,
42,Bicalutamide,Bicalutamide,
43,Prochlorperazine Maleate,Prochlorperazine Maleate,
44,Calcitriol,Calcitriol,
45,Lidocaine-Prilocaine,Lidocaine/Prilocaine,
46,Midodrine Hcl,Midodrine Hcl,
47,Minoxidil,Minoxidil,
48,Renagel,Sevelamer Hcl,
49,Actoplus Met,Pioglitazone Hcl/Metformin Hcl,
50,Nateglinide,Nateglinide,
51,Liothyronine Sodium,Liothyronine Sodium,
52,Lipitor,Atorvastatin Calcium,
53,Tricor,Fenofibrate Nanocrystallized,
54,Sulfacetamide-Prednisolone,Sulfacetamide/Prednisolone Sp,
55,Tobramycin-Dexamethasone,Tobramycin/Dexamethasone,
56,Trilipix,Fenofibric Acid (Choline),
57,Bromfenac Sodium,Bromfenac Sodium,
58,Novolin R,"Insulin Regular, Human",
59,Pegintron Redipen,Peginterferon Alfa-2b,
60,Betamethasone Valerate,Betamethasone Valerate,
61,Hydrocortisone,Hydrocortisone,
62,Medroxyprogesterone Acetate,Medroxyprogesterone Acetate,
63,Tri-Legest Fe,Noreth A-Et Estra/Fe Fumarate,
64,Fluocinonide-E,Fluocinonide/Emollient Base,
65,Dilantin,Phenytoin Sodium Extended,
66,Moexipril Hcl,Moexipril Hcl,
67,Phenytek,Phenytoin Sodium Extended,
68,Enpresse,Levonorgestrel-Eth Estradiol,
69,Monoject Insulin Syringe,"Syring W-Ndl,disp,insul,0.5ml",
70,Pataday,Olopatadine Hcl,
71,Ziprasidone Hcl,Ziprasidone Hcl,
72,Tikosyn,Dofetilide,
73,Acetazolamide,Acetazolamide,
74,Sodium Chloride,0.9 % Sodium Chloride,
75,Depakote Er,Divalproex Sodium,
76,Emtriva,Emtricitabine,
77,Invirase,Saquinavir Mesylate,
78,Repaglinide,Repaglinide,
79,Metaxalone,Metaxalone,
80,Junel Fe,Noreth A-Et Estra/Fe Fumarate,
81,Transderm-Scop,Scopolamine,
82,Spironolactone-Hctz,Spironolact/Hydrochlorothiazid,
83,Prosol,Parenteral Amino Acid 20% No.1,
84,Aldactazide,Spironolact/Hydrochlorothiazid,
85,Exalgo,Hydromorphone Hcl,true
86,Meperitab,Meperidine Hcl,true
87,Estazolam,Estazolam,
88,Avonex Pen,Interferon Beta-1a,
89,Axona,"Nut.Tx, Metab.Dis, Mv & Min #2",
90,Myrbetriq,Mirabegron,
91,Tekturna Hct,Aliskiren/Hydrochlorothiazide,
92,Rescriptor,Delavirdine Mesylate,
93,Tivicay,Dolutegravir Sodium,
94,Dilantin-125,Phenytoin,
95,Prednisolone,Prednisolone,
96,Omeprazole-Sodium Bicarbonate,Omeprazole/Sodium Bicarbonate,
97,Levitra,Vardenafil Hcl,
98,Denavir,Penciclovir,
99,Fanapt,Iloperidone,
