ID,STATE_CODE,STATE_NAME,CITY,COUNTY,LATITUDE,LONGITUDE,ZIP_CODE,FIPS,REGION,DIVISION
1,AK,Alaska,Anaktuvuk Pass,North Slope,68.11878,-151.679005,99721,2185,West,Pacific
2,AK,Alaska,Anchor Point,Kenai Peninsula,59.788818,-151.732933,99556,2122,West,Pacific
3,AK,Alaska,Arctic Village,Yukon Koyukuk,68.077395,-145.423115,99740,2290,West,Pacific
4,AK,Alaska,Auke Bay,Juneau,58.3833,-134.6597,99801,2110,West,Pacific
5,AK,Alaska,Bettles Field,Yukon Koyukuk,67.100495,-151.062414,99726,2290,West,Pacific
6,AK,Alaska,Big Lake,Matanuska Susitna,61.5842,-149.4401,99654,2170,West,Pacific
7,AK,Alaska,Brevig Mission,Nome,65.334187,-166.478578,99785,2180,West,Pacific
8,AK,Alaska,Chignik Lagoon,Lake And Peninsula,56.251277,-158.673528,99548,2164,West,Pacific
9,AK,Alaska,Chignik Lake,Lake And Peninsula,56.255556,-158.7625,99548,2164,West,Pacific
10,AK,Alaska,Clam Gulch,Kenai Peninsula,60.201603,-151.422628,99568,2122,West,Pacific
11,AK,Alaska,Clarks Point,Dillingham,58.84921,-158.451241,99576,2070,West,Pacific
12,AK,Alaska,Coffman Cove,Prince Wales Ketchikan,55.342222,-131.646111,99901,2130,West,Pacific
13,AK,Alaska,Cold Bay,Aleutians East,55.610952,-161.942941,99612,2013,West,Pacific
14,AK,Alaska,Cooper Landing,Kenai Peninsula,60.476692,-149.823514,99572,2122,West,Pacific
15,AK,Alaska,Copper Center,Valdez Cordova,61.91581,-144.97793,99566,2261,West,Pacific
16,AK,Alaska,Crooked Creek,Bethel,61.818072,-158.002483,99575,2050,West,Pacific
17,AK,Alaska,Delta Junction,Southeast Fairbanks,64.005426,-145.613611,99737,2240,West,Pacific
18,AK,Alaska,Denali National Park,Denali,63.516075,-149.539532,99743,2068,West,Pacific
